Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,35.840000,36.459999,35.200001,36.000000,36.000000,1184955
2020-06-08,36.000000,36.200001,33.799999,35.040001,35.040001,1554397
2020-06-09,34.500000,37.639999,34.299999,37.040001,37.040001,1263336
2020-06-10,37.580002,38.580002,37.160000,37.980000,37.980000,1012012
2020-06-11,37.759998,38.160000,37.160000,38.020000,38.020000,892082
2020-06-12,37.139999,37.480000,36.000000,36.139999,36.139999,1095420
2020-06-15,35.660000,38.360001,35.200001,38.040001,38.040001,1111562
2020-06-16,38.660000,40.860001,38.060001,39.740002,39.740002,1358540
2020-06-17,40.000000,42.060001,39.820000,41.980000,41.980000,1182589
2020-06-18,41.900002,43.340000,41.200001,41.200001,41.200001,994339
2020-06-19,40.860001,41.660000,40.419998,41.660000,41.660000,1365121
2020-06-22,41.500000,44.520000,41.500000,43.840000,43.840000,856141
2020-06-23,44.259998,45.060001,43.279999,44.700001,44.700001,1103743
2020-06-24,44.799999,45.799999,44.200001,44.520000,44.520000,996741
2020-06-25,44.619999,45.439999,43.619999,45.279999,45.279999,897584
2020-06-26,45.439999,46.900002,45.240002,45.400002,45.400002,685722
2020-06-29,45.680000,47.099998,45.439999,46.639999,46.639999,909542
2020-06-30,47.099998,49.279999,46.759998,47.400002,47.400002,1104590
2020-07-01,48.119999,50.049999,47.520000,50.049999,50.049999,760830
2020-07-02,50.500000,51.400002,49.520000,50.299999,50.299999,987025
2020-07-03,50.349998,52.400002,50.049999,50.400002,50.400002,682310
2020-07-06,52.299999,52.799999,51.150002,52.000000,52.000000,763550
2020-07-07,52.099998,52.599998,50.049999,51.400002,51.400002,920774
2020-07-08,51.400002,52.000000,50.750000,51.150002,51.150002,948738
2020-07-09,51.500000,53.099998,51.150002,51.549999,51.549999,728089
2020-07-10,51.799999,53.349998,51.500000,52.000000,52.000000,597503
2020-07-13,51.000000,51.150002,47.099998,49.439999,49.439999,1314991
2020-07-14,51.400002,52.549999,47.580002,48.599998,48.599998,1853780
2020-07-15,48.799999,49.400002,48.000000,48.000000,48.000000,1258214
2020-07-16,48.200001,48.599998,47.040001,47.900002,47.900002,1034254
2020-07-17,48.000000,48.680000,43.959999,45.000000,45.000000,1637314
2020-07-20,null,null,null,null,null,null
2020-07-21,44.439999,45.139999,41.560001,42.200001,42.200001,1711716
2020-07-22,42.040001,44.099998,41.840000,43.639999,43.639999,1235599
2020-07-23,44.259998,46.020000,43.759998,45.560001,45.560001,1075152
2020-07-24,45.060001,45.060001,42.720001,43.980000,43.980000,1066753
2020-07-27,44.200001,45.360001,44.080002,44.959999,44.959999,551747
2020-07-28,45.220001,46.820000,44.180000,44.619999,44.619999,1165027
2020-07-29,44.459999,45.779999,43.779999,45.700001,45.700001,527607
